# external cosmogenics, factorised sampling table
# generated by make_external_cosmogenics_table.py from a 189875-row CSV
# energy in keV; cos_theta measured about the drift axis; phi in rad
#
# SPECIES <pdg> <n_particles> <representation>
# L    <ekin_keV> <count>                 discrete line, exact energy
# E    <lo_keV> <hi_keV> <count>          quantile-spaced continuum
# A    <cos_lo> <cos_hi> <phi_lo> <phi_hi> <count>
# RAW  <ekin_keV> <dirX> <dirY> <dirZ>    species below 200 particles

A 0.3750 0.5000 -2.0944 -1.5708 242
A 0.3750 0.5000 -1.5708 -1.0472 251
A 0.3750 0.5000 -1.0472 -0.5236 189
A 0.3750 0.5000 -0.5236 0.0000 121
A 0.3750 0.5000 0.0000 0.5236 125
A 0.3750 0.5000 0.5236 1.0472 221
A 0.3750 0.5000 1.0472 1.5708 276
A 0.3750 0.5000 1.5708 2.0944 301
A 0.3750 0.5000 2.0944 2.6180 198
A 0.3750 0.5000 2.6180 3.1416 105
A 0.5000 0.6250 -3.1416 -2.6180 125
A 0.5000 0.6250 -2.6180 -2.0944 175
A 0.5000 0.6250 -2.0944 -1.5708 236
A 0.5000 0.6250 -1.5708 -1.0472 230
A 0.5000 0.6250 -1.0472 -0.5236 213
A 0.5000 0.6250 -0.5236 0.0000 136
A 0.5000 0.6250 0.0000 0.5236 134
A 0.5000 0.6250 0.5236 1.0472 231
A 0.5000 0.6250 1.0472 1.5708 302
A 0.5000 0.6250 1.5708 2.0944 303
A 0.5000 0.6250 2.0944 2.6180 250
A 0.5000 0.6250 2.6180 3.1416 139
A 0.6250 0.7500 -3.1416 -2.6180 142
A 0.6250 0.7500 -2.6180 -2.0944 218
A 0.6250 0.7500 -2.0944 -1.5708 210
A 0.6250 0.7500 -1.5708 -1.0472 244
A 0.6250 0.7500 -1.0472 -0.5236 202
A 0.6250 0.7500 -0.5236 0.0000 125
A 0.6250 0.7500 0.0000 0.5236 147
A 0.6250 0.7500 0.5236 1.0472 251
A 0.6250 0.7500 1.0472 1.5708 293
A 0.6250 0.7500 1.5708 2.0944 238
A 0.6250 0.7500 2.0944 2.6180 232
A 0.6250 0.7500 2.6180 3.1416 159
A 0.7500 0.8750 -3.1416 -2.6180 143
A 0.7500 0.8750 -2.6180 -2.0944 220
A 0.7500 0.8750 -2.0944 -1.5708 226
A 0.7500 0.8750 -1.5708 -1.0472 239
A 0.7500 0.8750 -1.0472 -0.5236 208
A 0.7500 0.8750 -0.5236 0.0000 153
A 0.7500 0.8750 0.0000 0.5236 151
A 0.7500 0.8750 0.5236 1.0472 228
A 0.7500 0.8750 1.0472 1.5708 233
